carat,depth,table,x,y,z,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price,cut,color,clarity
0.041580041580042,0.533333333333333,0.25,0.442271880819366,0.079966044142615,0.092452830188679,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1050,Ideal,E,SI2
0.174636174636174,0.524999999999999,0.269230769230769,0.604283054003724,0.109677419354838,0.126100628930817,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4515,Premium,E,SI1
0.114345114345114,0.488888888888888,0.25,0.553072625698324,0.100169779286927,0.112893081761006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2415,Good,E,VS1
0.031185031185031,0.505555555555555,0.288461538461538,0.422718808193668,0.076570458404075,0.087106918238994,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,906,Premium,I,VS2
0.268191268191268,0.541666666666666,0.288461538461538,0.670391061452513,0.123259762308998,0.142138364779874,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7773,Good,J,SI2
0.106029106029106,0.494444444444444,0.25,0.535381750465549,0.098981324278438,0.110691823899371,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2741,Very Good,J,VVS2
0.108108108108108,0.497222222222222,0.269230769230769,0.539106145251396,0.097962648556876,0.110691823899371,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2869,Very Good,I,VVS1
0.145530145530145,0.547222222222222,0.288461538461538,0.564245810055865,0.104414261460101,0.120440251572327,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4661,Very Good,H,SI1
0.174636174636174,0.461111111111111,0.365384615384615,0.616387337057728,0.111375212224108,0.123584905660377,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6278,Fair,E,VS2
0.108108108108108,0.474999999999999,0.326923076923077,0.539106145251396,0.098811544991511,0.109748427672955,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3449,Very Good,H,VS1
0.029106029106029,0.575,0.269230769230769,0.411545623836126,0.075382003395586,0.088679245283019,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,537,Good,J,SI1
